Carte,Origine,Destination,Temps CPU Dijkstra (en ns), Nb Sommets, Temps CPU A* (en ns), Nb Sommets
bretagne.mapgr,1107,60121,483460000,389010,563883000,132265
bretagne.mapgr,275702,229510,710513000,498478,127506000,48344
bretagne.mapgr,393476,623858,747943000,926831,393646000,104120
bretagne.mapgr,647153,422715,559441000,260372,76107000,39007
bretagne.mapgr,386576,135375,193045000,734961,359824000,93021
bretagne.mapgr,137551,146438,512957000,316983,167329000,101410
bretagne.mapgr,112202,431787,620570000,238378,149985000,54730
bretagne.mapgr,554588,317326,35713000,838909,713232000,176399
bretagne.mapgr,641618,1717,868167000,274829,67082000,27351
bretagne.mapgr,565594,58166,713266000,392102,314583000,171112
bretagne.mapgr,173070,576390,3696000,316313,39563000,18889
bretagne.mapgr,647365,399328,994388000,391069,118222000,49351
bretagne.mapgr,91223,89342,109062000,429910,323542000,110666
bretagne.mapgr,492765,23543,616280000,640049,260781000,78938
bretagne.mapgr,580941,320738,490790000,517864,472952000,177682
bretagne.mapgr,410347,129128,69066000,612216,365083000,63008
bretagne.mapgr,203314,448137,110350000,278552,89938000,33698
bretagne.mapgr,535529,28635,137916000,752845,565922000,130289
bretagne.mapgr,199300,282001,129085000,651780,683792000,166561
bretagne.mapgr,380523,25877,244958000,364880,57714000,26125
bretagne.mapgr,342437,35448,957610000,420485,59858000,24406
bretagne.mapgr,87356,377606,903317000,745150,120869000,43284
bretagne.mapgr,627983,500418,716400000,331237,57632000,28629
bretagne.mapgr,392990,11764,609891000,881892,231895000,89367
bretagne.mapgr,390790,172975,837312000,278998,172241000,53850
bretagne.mapgr,265004,524878,434023000,631515,418758000,123041
bretagne.mapgr,85383,544591,337170000,940598,687466000,107067
bretagne.mapgr,403628,426763,348499000,198883,123023000,51937
bretagne.mapgr,628330,289717,506440000,516999,206741000,149033
bretagne.mapgr,603967,241667,975316000,499236,160211000,53027
bretagne.mapgr,123895,301895,906781000,820305,285360000,85089
bretagne.mapgr,435425,83677,735811000,706507,192094000,68365
bretagne.mapgr,627171,325467,866991000,729739,336442000,64692
bretagne.mapgr,589735,26215,307063000,513461,157836000,66705
bretagne.mapgr,472267,552180,150652000,415333,273957000,88730
bretagne.mapgr,122977,438833,589725000,284606,212258000,125477
bretagne.mapgr,347325,385004,825711000,303316,106321000,41023
bretagne.mapgr,62900,184081,158540000,609123,250600000,84339
bretagne.mapgr,513225,661221,979160000,742957,486250000,118876
bretagne.mapgr,41350,307472,362175000,651469,193708000,199521
bretagne.mapgr,117839,447589,465089000,540769,106235000,39451
bretagne.mapgr,533609,307921,966544000,416616,277582000,121590
bretagne.mapgr,519459,65496,106931000,560664,82643000,35770
bretagne.mapgr,475462,618687,13247000,295006,130975000,48798
bretagne.mapgr,453030,217112,565249000,1009270,483318000,108828
bretagne.mapgr,177625,444313,396903000,396949,72402000,30824
bretagne.mapgr,394095,646528,884766000,662635,188320000,45613
bretagne.mapgr,410071,352969,249278000,484378,79650000,33038
bretagne.mapgr,288364,568082,746056000,628397,871041000,165918
bretagne.mapgr,361871,91963,651345000,447764,238495000,93566
bretagne.mapgr,460630,335235,568655000,279920,77077000,39091
bretagne.mapgr,638274,67122,151865000,894589,286551000,82651
bretagne.mapgr,335203,171465,849356000,989868,265582000,80407
bretagne.mapgr,633992,380313,622702000,1067600,662519000,138326
bretagne.mapgr,651055,71931,766605000,558800,231604000,58549
bretagne.mapgr,370392,465305,206659000,357244,246425000,75873
bretagne.mapgr,510095,233426,94185000,498193,221603000,96982
bretagne.mapgr,248374,448781,809075000,356443,89786000,38792
bretagne.mapgr,165402,43767,414926000,520587,112019000,36016
bretagne.mapgr,346343,510094,314373000,544979,151935000,139399
bretagne.mapgr,292954,75524,699646000,759884,129358000,43173
bretagne.mapgr,413971,522888,784472000,491198,88291000,36366
